time,ping
1990,57.9
1991,44.2
1992,47.4
1993,40
1994,43.8
1995,72.3
1996,51.8
1997,50.8
1998,58.9
1999,44
2000,51.3
2001,60.8
2002,48.1
2003,61.8
2004,40.3
2005,48.2
2006,53.1
2007,57.3
2008,40.4
2009,52.8
2010,71.9
2011,40.6
2012,56
2013,57.7
2014,51
2015,41.9
2016,58.4
2017,59.7
2018,57.3
2019,51.9
2020,69.7
2021,49.6
2022,61.5
2023,42.2
2024,49.8
2025,53.6
2026,63.2
2027,66.1
2028,70.3
2029,86.1
2030,43.1
2031,47.8
2032,61
2033,62
2034,58.7
2035,51.9
2036,47
2037,113
2038,99
2039,78
2040,105
2041,163
2042,110
2043,96.9
2044,60.2
2045,79.3
2046,82.7
2047,106
2048,105
2049,62.2
2050,45
2051,41.4
2052,49.2
2053,96.3
2054,115
2055,130
2056,92.2
2057,135
2058,118
2059,62.2
2060,68.8
2061,66.2
2062,56.7
2063,46.3
2064,48.5
2065,42.5
2066,42.7
2067,41.3
2068,76
2069,58
2070,53.7
2071,72.2
2072,41.4
2073,63.3
2074,53
2075,48.7
2076,55.6
2077,39.6
2078,44.2
2079,61.8
2080,108
2081,98.4
2082,149
2083,60.3
2084,64.8
2085,44.7
2086,67.8
2087,50.6
2088,73.1
2089,53.2
2090,131
2091,70.3
2092,55.3
2093,44.2
2094,47.2
2095,57
2096,54.9
2097,49.9
2098,61.3
2099,50.6
2100,64.1
2101,52.7
2102,50.6
2103,50
2104,42.3
2105,42.3
2106,38.6
2107,46.7
2108,85.2
2109,73.7
2110,43.9
2111,57.5
2112,41.3
2113,56.4
2114,41.7
2115,51.9
2116,50.3
2117,44
2118,47.2
2119,40
2120,46.7
2121,48.9
2122,42.6
2123,182
2124,161
2125,124
2126,119
2127,115
2128,157
2129,98.1
2130,86.6
2131,80.9
2132,87
2133,118
2134,104
2135,49.8
2136,51.2
2137,51
2138,74.7
2139,73.1
2140,120
2141,106
2142,114
2143,413
2144,132
2145,107
2146,94.1
2147,125
2148,117
2149,60
2150,47.5
2151,116
2152,40.6
2153,49.4
2154,67
2155,45.1
2156,55.1
2157,49.5
2158,51.7
2159,44.6
2160,49.9
2161,600
2162,143
2163,893
2164,286
2165,808
2166,314
2167,199
2168,226
2169,314
2170,224
2171,215
2172,193
2173,315
2174,367
2175,249
2176,273
2177,140
2178,73.9
2179,66.4
2180,54.4
2181,62.1
2182,56
2183,64.6
2184,80.5
2185,63.7
2186,64.4
2187,52.5
2188,47.6
2189,75.8
2190,84.8
2191,53.2
2192,72.8
2193,69.6
2194,73.7
2195,67.7
2196,61.6
2197,57.3
2198,51.4
2199,57.5
2200,62
2201,54.9
2202,54.6
2203,53
2204,50.5
2205,71
2206,65.5
2207,64.1
2208,66.8
2209,42
2210,45.4
2211,65.5
2212,73.5
2213,41.9
2214,62.8
2215,41.2
2216,55
2217,53.1
2218,52.1
2219,43.2
2220,65.1
2221,53.6
2222,57.1
2223,70.9
2224,76.2
2225,64.8
2226,44.1
2227,58.4
2228,71.3
2229,48
2230,61.5
2231,60.3
2232,60
2233,64.4
2234,56.1
2235,68.5
2236,59.6
2237,58.1
2238,84.6
2239,70.8
2240,90
2241,62.5
2242,64.3
2243,63.4
2244,62.7
2245,50.1
2246,79.1
2247,49.3
2248,71.7
2249,69
2250,54.6
2251,58.2
2252,69.8
2253,48.7
2254,65
2255,65.6
2256,149
2257,167
2258,139
2259,82
2260,120
2261,39.2
2262,63.1
2263,57
2264,55.6
2265,54.7
2266,64.3
2267,63.6
2268,52
2269,55.3
2270,59.3
2271,70.4
2272,68
2273,83.1
2274,66.1
2275,70.7
2276,83.4
2277,56.6
2278,68.6
2279,72.8
2280,43.1
2281,76.6
2282,111
2283,142
2284,58.6
2285,55.1
2286,55.1
2287,68.4
2288,77.1
2289,546
2290,171
2291,137
2292,129
2293,768
2294,285
2295,256
2296,192
2297,210
2298,164
2299,132
2300,193
2301,113
2302,149
2303,219
2304,214
2305,558
2306,161
2307,145
2308,194
2309,222
2310,168
2311,108
2312,70.2
2313,81.2
2314,70.1
2315,59.7
2316,147
2317,122
2318,63.5
2319,58.7
2320,42.2
2321,51
2322,69.1
2323,63.1
2324,53.7
2325,66.1
2326,47
2327,39.7
2328,43.3
2329,108
2330,50.5
2331,54.6
2332,68.8
2333,76.8
2334,87.6
2335,64.6
2336,57.9
2337,61.5
2338,185
2339,74
2340,63
2341,53
2342,51.2
2343,48.7
2344,170
2345,133
2346,72.3
2347,65.2
2348,63.9
2349,41.9
2350,76.5
2351,39.5
2352,84
2353,57.8
2354,40.9
2355,59.5
2356,78.1
2357,61.1
2358,49.5
2359,68.6
2360,70.3
2361,50.5
